lat,long,subbasin
42.9991,-82.3924,0a
43.0081,-82.3925,0a
43.0172,-82.3926,0a
43.0171,-82.4049,0a
43.0261,-82.405,0a
43.0352,-82.4051,0a
43.0351,-82.4174,0a
43.0441,-82.4175,0a
43.0532,-82.4176,0a
43.0531,-82.43,0a
43.0621,-82.4301,0a
43.0711,-82.4302,0a
43.0711,-82.4425,0a
43.0801,-82.4426,0a
43.0891,-82.4427,0a
43.0982,-82.4428,0a
43.0981,-82.4552,0a
43.1071,-82.4553,0a
43.1161,-82.4554,0a
43.1252,-82.4555,0a
43.1342,-82.4556,0a
43.1432,-82.4557,0a
43.1431,-82.468,0a
43.1522,-82.4681,0a
43.1612,-82.4682,0a
43.1702,-82.4683,0a
43.1793,-82.4684,0a
43.1883,-82.4685,0a
43.1882,-82.4809,0a
43.1972,-82.481,0a
43.2063,-82.4811,0a
43.2062,-82.4935,0a
43.2152,-82.4936,0a
43.2242,-82.4937,0a
43.2333,-82.4938,0a
43.2423,-82.4939,0a
43.2513,-82.494,0a
43.2604,-82.4941,0a
43.2694,-82.4942,0a
43.2784,-82.4943,0a
43.2783,-82.5067,0a
43.2874,-82.5069,0a
43.2964,-82.507,0a
43.3054,-82.5071,0a
43.3144,-82.5072,0a
43.3235,-82.5073,0a
43.3325,-82.5074,0a
43.3415,-82.5075,0a
43.3506,-82.5076,0a
43.3596,-82.5077,0a
43.3686,-82.5078,0a
43.3776,-82.5079,0a
43.3867,-82.508,0a
43.3957,-82.5081,0a
43.4047,-82.5082,0a
43.4138,-82.5083,0a
43.4228,-82.5085,0a
43.4318,-82.5086,0a
43.4408,-82.5087,0a
43.4499,-82.5088,0a
43.4498,-82.5212,0a
43.4588,-82.5213,0a
43.4678,-82.5214,0a
43.4769,-82.5215,0a
43.4768,-82.534,0a
43.4858,-82.5341,0a
43.4948,-82.5342,0a
43.5039,-82.5343,0a
43.5038,-82.5468,0a
43.5128,-82.5469,0a
43.5218,-82.547,0a
43.5309,-82.5471,0a
43.5308,-82.5596,0a
43.5398,-82.5597,0a
43.5488,-82.5598,0a
43.5579,-82.5599,0a
43.5669,-82.56,0a
43.5759,-82.5601,0a
43.5758,-82.5726,0a
43.5849,-82.5727,0a
43.5939,-82.5728,0a
43.6029,-82.5729,0a
43.612,-82.5731,0a
43.621,-82.5732,0a
43.63,-82.5733,0a
43.639,-82.5734,0a
43.6481,-82.5735,0a
43.6571,-82.5736,0a
43.6661,-82.5738,0a
43.6751,-82.5739,0a
43.6842,-82.574,0a
43.6932,-82.5741,0a
43.7022,-82.5742,0a
43.7113,-82.5744,0a
43.7203,-82.5745,0a
43.7293,-82.5746,0a
43.7292,-82.5871,0a
43.7383,-82.5872,0a
43.7473,-82.5873,0a
43.7563,-82.5874,0a
43.7653,-82.5876,0a
43.7744,-82.5877,0a
43.7834,-82.5878,0a
43.7833,-82.6003,0a
43.7923,-82.6004,0a
43.8014,-82.6006,0a
43.8104,-82.6007,0a
43.8194,-82.6008,0a
43.8284,-82.6009,0a
43.8284,-82.6134,0a
43.8374,-82.6136,0a
43.8464,-82.6137,0a
43.8463,-82.6262,0a
43.8553,-82.6263,0a
43.8644,-82.6265,0a
43.8643,-82.639,0a
43.8733,-82.6391,0a
